Campaign,Campaign type,Networks,Language,Campaign daily budget,Bid strategy type,Start date,End date,Campaign Status,EU political ads,Location,Location ID,Age,Ad Group,Ad Group Status,Status,Type,Keyword,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Headline 1 position,Headline 2 position,Headline 3 position,Headline 4 position,Headline 5 position,Headline 6 position,Headline 7 position,Headline 8 position,Headline 9 position,Headline 10 position,Headline 11 position,Headline 12 position,Headline 13 position,Headline 14 position,Headline 15 position,Description 1,Description 2,Description 3,Description 4,Sitelink text,Callout text,Header,Snippet Values,Comment
Search | Auto Digital | Producto Always On,Search,Google Search;Search Partners,es,25,Maximize clicks,[],2026-12-31,Paused,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Search de producto Always On; termina el 31/12/2026; presupuesto diario CLP 25
Search | Auto Digital | Producto Always On,,,,,,,,,,"Santiago Metropolitan Region,Chile",20160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Segmentación geográfica: Region en Chile
Search | Auto Digital | Producto Always On,,,,,,,,,,"Valparaiso,Valparaiso,Valparaiso,Chile",1003332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Segmentación geográfica: City en Chile
Search | Auto Digital | Producto Always On,,,,,,,,,,"Concepcion,Bio Bio,Chile",1003302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Segmentación geográfica: City en Chile
Search | Auto Digital | Producto Always On,,,,,,,,,,"Antofagasta,Antofagasta,Antofagasta,Chile",1003298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Segmentación geográfica: City en Chile
Search | Auto Digital | Producto Always On,,,,,,,,,,"Chillan,Chillan,Nuble,Chile",9048036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Segmentación geográfica: City en Chile
Search | Auto Digital | Producto Always On,,,,,,,,,,,,18-24,,,,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exclusión etaria para segmentar estrictamente desde 25 años
Search | Auto Digital | Producto Always On,,,,,,,,,,,,Unknown,,,,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exclusión etaria para segmentar estrictamente desde 25 años
Search | Auto Digital | Promo 3 Cuotas,Search,Google Search;Search Partners,es,25,Maximize clicks,[],2026-09-30,Paused,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Search promocional; termina automáticamente el 30/09/2026; presupuesto diario CLP 25
Search | Auto Digital | Promo 3 Cuotas,,,,,,,,,,"Santiago Metropolitan Region,Chile",20160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Segmentación geográfica: Region en Chile
Search | Auto Digital | Promo 3 Cuotas,,,,,,,,,,"Valparaiso,Valparaiso,Valparaiso,Chile",1003332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Segmentación geográfica: City en Chile
Search | Auto Digital | Promo 3 Cuotas,,,,,,,,,,"Concepcion,Bio Bio,Chile",1003302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Segmentación geográfica: City en Chile
Search | Auto Digital | Promo 3 Cuotas,,,,,,,,,,"Antofagasta,Antofagasta,Antofagasta,Chile",1003298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Segmentación geográfica: City en Chile
Search | Auto Digital | Promo 3 Cuotas,,,,,,,,,,"Chillan,Chillan,Nuble,Chile",9048036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Segmentación geográfica: City en Chile
Search | Auto Digital | Promo 3 Cuotas,,,,,,,,,,,,18-24,,,,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exclusión etaria para segmentar estrictamente desde 25 años
Search | Auto Digital | Promo 3 Cuotas,,,,,,,,,,,,Unknown,,,,Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exclusión etaria para segmentar estrictamente desde 25 años
Search | Auto Digital | Producto Always On,,,,,,,,,,,,,AD | Seguro Auto Digital,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grupo habilitado dentro de campaña pausada; la puja se hereda de Maximizar clics
