Informe de términos de búsqueda
1 de agosto de 2026 - 31 de agosto de 2026
Término de búsqueda,Tipo de concordancia,Campaña,Grupo de anuncios,Clics,Impr.,CTR,CPC prom.,Costo,Conversiones
seguro automotriz,Amplia,Seguro Auto 2026,Genérico auto,180,2400,"7,50%",$1.950,$351.000,9
cotizar seguro auto,Frase,Seguro Auto 2026,Cotizar,140,1600,"8,75%",$1.700,$238.000,14
seguro auto precio,Exacta,Seguro Auto 2026,Cotizar,60,900,"6,67%",$1.600,$96.000,5
soap 2026,Amplia,Seguro Auto 2026,Genérico auto,95,3100,"3,06%",$2.100,$199.500,0
soap online barato,Amplia,Seguro Auto 2026,Genérico auto,60,1900,"3,16%",$2.050,$123.000,0
trabajo en aseguradoras,Amplia,Seguro Auto 2026,Genérico auto,22,700,"3,14%",$1.800,$39.600,0
seguro de moto,Amplia,Seguro Auto 2026,Genérico auto,40,1200,"3,33%",$2.200,$88.000,0
qué es un deducible,Amplia,Seguro Auto 2026,Genérico auto,35,1500,"2,33%",$1.400,$49.000,0
seguro auto gratis,Amplia,Seguro Auto 2026,Genérico auto,18,800,"2,25%",$1.900,$34.200,0
liquidador de seguros,Amplia,Seguro Auto 2026,Genérico auto,12,400,"3,00%",$2.300,$27.600,0
Total: cuenta,,,,762,14500,,,$1.245.900,28
